Sample,Rep,lLR,Eff,Pr,St,NC,TC,TotDNA,amtDNA,C1,C2,C3,C4,D1,D2,D3,D4,CSF1PO,D13S317,D16S539,D18S51,D19S433,D21S11,D2S1338,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,VWA
678,3,2.95,0.169,likeLTD,Absent,3,A,50,10,D,E,A,NA,2,2,1,NA,0.181,0.223,0.305,0.195,0.3,-0.0538,-0.0237,0.201,0.258,0.302,0.794,-0.409,0.338,-0.0196,0.356
678,3,1.33060206157218,0.0763,EFM,Absent,3,A,50,10,D,E,A,NA,2,2,1,NA,0.235527216533405,0.570822018833242,-0.0925633507632908,0.0992451140360191,0.151153559702165,-0.335908935520627,-0.406615252617282,0.246580008709551,0.114007221687046,0.108240689469523,0.598885023638981,-0.323806351367115,0.274219228201175,-0.0746810837753019,0.165496954804689
678,3,1.32793623337544,0.0762,EFM,Present,3,A,50,10,D,E,A,NA,2,2,1,NA,0.237958278101889,0.569180373935759,-0.0910289514708739,0.100668045512413,0.144221807286988,-0.33595598229598,-0.407913628687806,0.245922402823775,0.115026066445718,0.109177909644726,0.60253854576966,-0.329152084980979,0.276326462352763,-0.0757991836397692,0.166766172577159
678,3,9.00490617300972,0.471,EFM,Absent,3,D,50,20,D,E,A,NA,2,2,1,NA,0.513035973394004,1.09589564991801,0.852935125608171,0.897449433260433,1.05694234434144,0.600827726733774,0.129684318499375,0.304872507059585,0.338960508844566,1.16412424210463,0.577035177087809,0.885980805008849,0.517292191496262,-0.513854113992769,0.583724283645569
678,3,8.99914976721821,0.471,EFM,Present,3,D,50,20,D,E,A,NA,2,2,1,NA,0.51411707630831,1.09409512381065,0.854306683423206,0.897414947235857,1.04896624706696,0.600939843942242,0.129262485566182,0.303519847054667,0.339450370530997,1.16478002170758,0.577946734325333,0.886456264193067,0.518936416335214,-0.51540968178271,0.584367387500653
678,3,9.73,0.509,likeLTD,Present,3,D,50,20,D,E,A,NA,2,2,1,NA,0.554,0.895,0.957,1.25,0.75,0.582,0.123,0.379,0.369,1.54,0.547,1.12,0.668,-0.668,0.664
678,3,9.7,0.508,likeLTD,Absent,3,D,50,20,D,E,A,NA,2,2,1,NA,0.575,0.939,0.933,1.22,0.636,0.566,0.124,0.414,0.372,1.49,0.562,1.17,0.712,-0.67,0.658
679,4,1.56,0.0895,likeLTD,Present,3,A,50,10,D,E,A,NA,2,2,1,NA,-0.448,-0.0191,-0.00922,0.0885,0.574,-0.176,0.288,0.703,0.23,0.0741,0.316,0.0154,-0.257,0.0213,0.156
679,4,1.6,0.0918,likeLTD,Absent,3,A,50,10,D,E,A,NA,2,2,1,NA,-0.344,-0.0367,-0.0281,0.0259,0.606,-0.173,0.107,0.844,0.261,0.0844,0.275,0.0198,-0.261,0.0783,0.145
679,4,9.0929020694774,0.476,EFM,Absent,3,D,50,20,D,E,A,NA,2,2,1,NA,-0.177730980832298,1.225473504689,0.889173153955037,-0.713981372197417,1.06316808796582,0.459603567262325,1.17598480298321,0.397388363408896,0.317564632785006,1.26627160831154,0.523059394866967,1.02640660887572,0.503098146870915,0.334186371138821,0.803236179393867
679,4,9.04897429742234,0.474,EFM,Present,3,D,50,20,D,E,A,NA,2,2,1,NA,-0.177694776003727,1.21805574605277,0.887147506638499,-0.722380753013323,1.07370669139603,0.448223509570217,1.15770660944818,0.405155375398536,0.309952637277669,1.26078625252778,0.516456050036937,1.02058247432185,0.514308260871361,0.338620694697584,0.798348018201967
679,4,9.29,0.486,likeLTD,Absent,3,D,50,20,D,E,A,NA,2,2,1,NA,-0.129,1.28,0.836,-0.736,1,0.696,1.49,0.5,0.265,1.2,0.587,1,0.6,-0.0458,0.74
679,4,0.0641233458509563,0.00368,EFM,Present,3,A,50,10,D,E,A,NA,2,2,1,NA,0.00597321337943965,-0.0437007987335646,-0.0291997605448894,-0.041626597143989,0.12965386042665,-0.0375273160232911,-0.00681460783744287,0.154396893808227,0.0196958026327346,-0.0039927163139326,0.0299043448713676,0.00279476511888036,0.0228363914965257,-0.10492916969145,-0.0333409595943083
679,4,0.0645036507633121,0.0037,EFM,Absent,3,A,50,10,D,E,A,NA,2,2,1,NA,0.00929282368805834,-0.0516308830687404,-0.0353235450474791,-0.0512276379085326,0.14198665752233,-0.0499601257065144,-0.0080811710739887,0.185226531301193,0.0232177049206731,-0.00626533618017635,0.0359628201611186,0.00177637676618121,0.0257550230014993,-0.116899259032574,-0.0393263285797347
679,4,8.94,0.468,likeLTD,Present,3,D,50,20,D,E,A,NA,2,2,1,NA,0.168,1.23,0.872,-0.681,0.211,0.629,1.05,0.131,0.427,1.21,0.866,1.02,0.812,0.259,0.734
679,4,2.13739436140281,0.13,EFM,Absent,3,E,50,20,D,E,A,NA,2,2,1,NA,0.412314745491078,-0.317658846787209,0.732657321847174,0.646920941908276,-0.216901526562414,0.395405476744038,0.241586444326877,0.740005965510789,0.0365848391089225,-0.41794417668036,-0.419269250132993,-0.222708901443691,0.450147725539421,0.156424944600791,-0.0801713420678924
679,4,2.14080755340658,0.131,EFM,Present,3,E,50,20,D,E,A,NA,2,2,1,NA,0.414090817783061,-0.32211096353717,0.734064320938495,0.642175585107204,-0.20276615180602,0.388221426382312,0.229880880746583,0.748841115485503,0.0351017785479525,-0.419470811562076,-0.424942808975565,-0.223026885643625,0.456058701747076,0.165535371479718,-0.0808448232868688
679,4,2.15,0.131,likeLTD,Absent,3,E,50,20,D,E,A,NA,2,2,1,NA,0.462,-0.285,0.571,0.619,-0.0795,0.553,0.484,0.46,-0.1,-0.479,-0.222,-0.195,0.643,-0.0594,-0.22
679,4,1.99,0.121,likeLTD,Present,3,E,50,20,D,E,A,NA,2,2,1,NA,0.487,-0.384,0.632,0.558,-0.0586,0.36,0.237,0.406,-0.0166,-0.501,-0.2,-0.144,0.504,0.198,-0.0875
680,5,1.59,0.0971,likeLTD,Absent,3,E,50,20,D,E,A,NA,2,2,1,NA,-0.529,0.685,0.346,-0.402,-0.897,0.151,0.33,0.46,0.189,0.849,-0.0307,-0.27,0.361,0.161,0.19
