Sample ID,Ship ID,Sed Depth,Site ,Site Type,AOM ,CH4 ,Sulfide,SO4,NO3,NO2,NH4 ,POC ,DOC 
72,1,20-25,J,shelf,0,1.99,0.73,30.29,2.82,0.17,19.91,452398,310
73,1,25-35,J,shelf,,1.96,0.31,31.3,4.96,0.1,19.51,521626,336
74,1,0-3,K,shelf,2.48,1.22,0.08,29.87,33.03,0.3,6.41,963968,527
75,1,3-6 cm,K,shelf,0.37,1.27,0.12,29.4,25.56,0.34,4.28,834977,241
76,1,6-9 cm,K,shelf,0.02,1.6,0.12,29.56,9.88,3.05,4.28,845867,237
77,1,9-15 cm,K,shelf,0,1.58,0.17,29.58,1.86,0.58,4.68,706031,258
78,1,15-20,K,shelf,0,1.61,1.34,28.78,0.79,0.45,7.48,716096,374
79,1,20-25,K,shelf,0,0.67,0.12,27.92,1.94,0.42,9.49,598522,502
80,1,25-35,K,shelf,0,0.39,0.22,30.11,3.72,0.35,14.03,594242,486
81,1,35-50,K,shelf,,0.48,0.03,30.63,7.73,0.71,16.57,440729,710
82,1,0-3,K,shelf,0.23,2.49,0.12,29.5,34.33,0.3,8,775490,479
83,1,3-6 cm,K,shelf,0,5.83,0.12,29.99,17.75,0.35,7.36,858993,374
84,1,6-9 cm,K,shelf,0.13,4.21,3.61,30.08,6.84,0.41,8.78,1040422,360
85,1,9-15 cm,K,shelf,0.26,4.63,2.8,30.46,8.42,0.45,10.84,1031157,414
86,1,15-20,K,shelf,0,4.44,,31.12,6.52,1.16,16.91,1085101,618
87,1,20-25,K,shelf,0,5.11,1.58,31.17,7,0.3,15.62,1036342,446
88,1,25-35,K,shelf,,5.03,,30.92,4.51,0.22,23.5,1105652,491
89,1,Oily Layer,L,shelf,0.11,0.76,0.08,29.92,22.43,1.08,7.23,1354498,495
90,1,0-3,L,shelf,0.02,0.98,5.58,29.78,5.88,0.67,13.56,1228094,816
91,1,3-6 cm,L,shelf,0,1.06,0.22,29.52,2.45,0.5,19.36,1183524,852
92,1,6-9 cm,L,shelf,0.16,0.8,8.83,29.59,2.88,0.24,22.33,1065362,753
93,1,9-15 cm,L,shelf,0,1.06,7.98,29.78,1.7,0.32,22.85,1042236,747
94,1,15-20,L,shelf,0,0.65,0.69,30.12,2.19,0.22,23.62,1087475,699
95,1,20-25,L,shelf,0,0.42,0.4,27.96,2.11,0.3,25.56,1009319,610
96,1,25-35,L,shelf,,0.59,0.12,29.85,1.49,0.2,26.34,1083836,581
97,1,35-50,L,shelf,,0.18,,29.71,2.56,0.71,30.47,1029926,556
98,1,0-3,M,shelf,0,2.58,0.17,29.71,37.32,0.27,6.2,941949,578
99,1,3-6 cm,M,shelf,0,3.82,0.26,29.89,16.62,0.32,5.16,1000264,386
